A_ID,B_ID
1517251708090568707,1245425135323975680
1508153870773415939,1444503111767404550
1507161045093265416,1118019922108370945
1499537155806593032,1248772656435871744
1498021970440507392,1387010761994682371
1497554962481618946,1118500484589989888
1497304735887638530,1489697253631557632
1496989477817839622,1373289371143577602
1496668119749648384,1446650069910835203
1494582293331349506,1240682348120866816
1494087547529666564,1341124283666329600
1492574423290990595,1240682348120866816
1492574423290990595,1240682348120866816
1490752401619537923,1488460177363939333
1487821293609181187,1351328967672918020
1487524111832150017,1071164794563166209
1481868843522084864,1174639256863510530
1480071384600485889,1303360753592938496
1479499011895738369,1495961644949721091
1478229936972259328,1269894425414471681
1476701921893257236,1387010761994682371
1476149306549837831,1463624518111481866
1475584734705033216,1387010761994682371
1473485044018601984,1387010761994682371
1473485044018601984,1387010761994682371
1472840303564537858,1013465243635408897
1472410607689347073,1421353072710889473
1471315362088169480,1219745366960230400
1471037967926018051,1473093411691372551
1471037967926018051,1461182536604860417
1471037967926018051,1430989083740868608
1471037967926018051,1403376337063235588
1471037967926018051,1170432178012008450
1462548977367359490,1497267347563982853
1462548977367359490,1448298903216984066
1462548977367359490,1325188311242186752
1462548977367359490,1082334406751252480
1460176204363972613,1381854660106010626
1457904825811693572,1430923653168852994
1456000176779300873,1270133776748855304
1455455122192994305,1239947878740656130
1450183437663543302,1271405810346799104
1448337884604469259,1387010761994682371
1445855445071974401,1276172499835912194
1438555006077214724,1293228146603503616
1429016867532849153,1319916075476262914
1427387278045810706,1319103997060411393
1426911929319280644,1050196639816671233
1422044577079377924,1428424784396783616
1421835080813666306,1443330719250632709
1420492295284080642,1189870353172123648
1393256554573574146,1435506024916586499
1392444458990440449,1497626612862496779
1392444458990440449,1299302634461868032
1392058501732704263,1240682348120866816
1387802155810271239,1387010761994682371
1387802155810271239,1083051676922273792
1387010761994682371,1476701921893257236
1385103818661109767,1457388751886249987
1382912376597479427,1016943828052336640
1380949455780859909,1219745366960230400
1377330715445104644,1358819872545857546
1370118821936312320,1387010761994682371
1369225110146588672,1441181995682332673
1368633664423268358,1239895217693691905
1367057849738661888,1213393680607789057
1366968686301433860,1135482849551835138
1363482355114119168,1240682348120866816
1359917918520107009,1462663861568360451
1354654336689852416,1330859882040463362
1352841335418580992,1476953095364087813
1345419030157529088,1251801300745977856
1344256277518692354,1185532946473721856
1344256277518692354,1081484761934319623
1341233976434782210,1119872518494416897
1340093943879512065,1308423406749200384
1335983975613939712,1497454353090809860
1335983975613939712,1497454353090809860
1335983975613939712,1187286319678050305
1330859882040463362,1473301547891187717
1325718056539049984,1290232189615894531
1325718056539049984,1219566773298532352
1323495003604226048,1240937077258117120
1319916075476262914,1429016867532849153
1319916075476262914,1429016867532849153
1319916075476262914,1429016867532849153
1317580765522202624,1478709129074069511
1312166469891813376,1133735345147797510
1309417499398746112,1240682348120866816
1309237180418666499,1429016867532849153
1308292444883005441,1498743557607366659
1305405934164824064,1297471014389944322
1298372735383605249,1246903329642471430
1296279134079823872,1403909678975778820
1293757447111204864,1485745257178411009
1285416100541407232,1446633879146729474
1280478731874848769,1428509556301197312
1280478731874848769,1346847727536238595
1278401163373707267,1093555979361415168
1276467165802176513,1125443593085358082
1271162030393896968,1160600256490328065
1271084812296761344,1341047951486009347
1268223690480615424,1305523968137457664
1268223690480615424,1173501470345445376
1264589105113042952,1277324748301766658
1256102507241181190,1387010761994682371
1252251742101663744,1476701921893257236
1244795359097958401,1120952978393849856
1242887487313391616,1350494918612045833
1240682348120866816,1125443593085358082
1240645212977934337,1065217978235592704
1238949674989416449,1494582293331349506
1238949674989416449,1267649650682523648
1238949674989416449,1259818577785307137
1238848104968810497,1297471014389944322
1238583088998830081,1111339958852308994
1238583088998830081,1083495635561541632
1238370241169616897,1344762633786822658
1238370241169616897,1323495003604226048
1238370241169616897,1128538846130401285
1237314642583658496,1269217886058549248
1230079133662605312,1111063253554069504
1229542513590947840,1202415019771584512
1227537493395939333,1446246843868803096
1220843046125940736,1169989273468190728
1215467169623891968,1265172359020834817
1212560564225900544,1481748163254165505
1212247565850177536,1401861298233647106
1210498529325539328,1401861298233647106
1207273044756041729,1089419890325360641
1205226529455632385,1235988756462780416
1203009388924944388,1063672498003181568
1189799454506799104,1202415019771584512
1187808818522030080,1440665019419480064
1187075381725220869,1160263164078022656
1173882011007643648,1248772656435871744
1172535926209298432,1208320402726031361
1167020856079343616,1144763809225203712
1166244003773329408,1431358317423693827
1163992520252153857,1134546351956615168
1157395568135557120,1272339251070468096
1143296723638337536,1369880235064258571
1125044084907892737,1498743557607366659
1122911018412150787,1104045001321926656
1121804148377362432,1135997501759262720
1120633726478823425,1497303587260715014
1120633726478823425,1447541603015528454
1120633726478823425,1332768779449761793
1120633726478823425,1282677931987406848
1119872518494416897,1473123421282177024
1119872518494416897,1248772656435871744
1117704370630455296,1305795361336770560
1117704370630455296,1144763809225203712
1116419370601865217,1358915795242393600
1104524508709441536,1387010761994682371
1104189659914162176,1289544058512252929
1098819491780153345,1290232189615894531
1098819491780153345,1290232189615894531
1098819491780153345,1290232189615894531
1096477961237291008,1135883199740096512
1095523459877068800,1297471014389944322
1095501036251504641,1187384102351200256
1094971056358637568,1301352799960145924
1094095877302611969,1387010761994682371
1088371662108676096,1217922136343490576
1087380412089987077,1187384102351200256
1080584229510172678,1325992895334256642
1080584229510172678,1296279134079823872
1080584229510172678,1167220466597138432
1073606435580325889,1387010761994682371
1070577229787095042,1369225110146588672
1064312869414678528,1387010761994682371
1062941830680010752,1055628087025520640
1062026032771989505,1199101727703744512
1038241060516900864,1388335191639347200
1036725216699998209,1294199740985376770
1031000589054828544,1089045346242576385
1019565941015875585,1269967012471717894
1015288783418388481,1227328613877506048
1012396774751907841,1240682348120866816
1009900083402461185,1428239144766124033
1009900083402461185,1318639282899341321
1009577803304656896,1261338980567613441
1005846500583321601,1364615480124846086
1005846500583321601,1020789978639536128
985523859179925504,1225382429080391680
984199530567667712,1252988129708929024
981436419087523840,1004502282736525312
967859267352059911,1387010761994682371
967832482354810881,1476254469214158856
950563187296030721,1356492104235577344
950215424981028864,1440445217153241089
950215424981028864,1440445217153241089
949892499878719488,1217939176701616128
939697315379646465,1387010761994682371
939486738543796224,1135201390404542464
935349971129311233,1402072207694589954
935116421977186304,1167150751426043904
929859631119323137,1479623224782737408
926164634570067968,1113956399833333761
900021957424447488,1387010761994682371
886398296146706432,1326887986856939520
879147821915615233,1219836531449290753
879147821915615233,1067968702400876544
878247600096509952,1331027267028475904
877968869138329601,1460176204363972613
873135988440223745,1349922686898724864
870645098748497921,1479777228951011334
863538430575353858,1476789450999017485
862621140795117568,1470628561631334402
850507814023942144,1478498850138570755
843433646962999296,1270133776748855304
843433646962999296,1270133776748855304
843433646962999296,1270133776748855304
840111948612042753,1284041137808969729
825922405453402115,1361496222301757444
823668549856002048,1125443593085358082
818893114979061761,1298470383356608515
817923454456373249,1270133776748855304
811229675758505984,1371130224595898373
810818800627175425,1136856346370822144
810603440984494080,1304036484920606720
803694179079458816,1033084441697153024
799911790398373888,1077703279218282497
793202009281273857,1467443898977030146
784575415457308672,1129107453474267136
784218054855127041,1346492377448398849
782697135007338496,1438328912732381188
780615150856310785,1235584294111850496
780546876391067648,1355917827052457987
767788995962998784,1336527483135528960
754635115368685568,1047223128303308801
745824471689244672,1146177969280495617
735636196290756608,1295003940547895298
714460503289028608,1156038524682035200
713839291210792960,1361454330423959559
711608180535640064,1210233737356730368
707967655031005186,1105502811800915968
1511462942033723394,864890182482505728
1495480590572961792,912232086211371008
1494031609217048579,826226272418283520
1480833851328892931,746377806754394116
1479291505650978817,804582780298412032
1471174998668812299,810496768047808513
1462548977367359490,975665886286753792
1462548977367359490,975084801253396480
1462548977367359490,829855036372979712
1462548977367359490,757082022204538880
1457520402545086468,823287122631102464
1449302062081138692,848911132496723969
1435272849128923140,736632572063719426
1428722963898159111,866958995784970241
1422044577079377924,713366495527481344
1420863242054864898,713761799103971331
1403739122901127169,844647036179927040
1387010761994682371,811704294743359493
1372586612438179847,797566942991130625
1354494993218613251,842185242807042048
1351759713982050306,935312564149465088
1351302423273472012,988943262982402048
1349154719386775552,869290350715715584
1349149096909668363,919667724535648262
1349005125277331459,850343119451299841
1344007696555663360,841968137373421568
1337903969851613185,975806263601672192
1334688905929613312,940778288871542786
1330859882040463362,877968869138329601
1330384476908769281,886032877011558400
1329615530509041665,940778288871542786
1321935792416149505,803320111503462400
1312166469891813376,925385771112071169
1303661260022534145,813314931147816960
1296279134079823872,708381986281291776
1287918892761755649,881708118903726080
1280478731874848769,940778288871542786
1268223690480615424,919965874311782400
1268223690480615424,913891656784662530
1268223690480615424,902689690704367616
1268223690480615424,708800580995522560
1267462011153195009,884109059242250240
1267462011153195009,863480987417817090
1266006636000358402,904206913889554432
1262456293157003272,825230340704735232
1262322182161481728,829512864809549824
1260515654811242498,881886431735631874
1258877266513313795,940778288871542786
1256595851859726337,997519418492993537
1251912071438110720,713761799103971331
1246004181372211202,849369122324566018
1243560408025198593,889348599837933568
1240461453854998530,911360726526189569
1238949674989416449,971011334920900609
1238583088998830081,898231845925646336
1238370241169616897,958685436112658432
1238370241169616897,828561216918335489
1238370241169616897,828561216918335489
1237853058140213248,755642370604097536
1237314642583658496,899697150380134400
1224098095325241345,956209593398546433
1218721688738615297,922294461186453504
1218721688738615297,922294461186453504
1218721688738615297,922294461186453504
1201953403099893760,965591988786446338
1189799454506799104,819873531160731649
1169278342543097856,746833826014437380
1167020856079343616,720420236076277760
1160150106018070528,774510439824822273
