hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Ukraine                               870244616003403781   0.67652  0.40806  .60317427894435819919  2510  6151   29529  48956
COVID19                               804582780298412032   0.93134  0.56176  .60317427894435819919  1096  1951   29529  48956
Russia                                870244616003403781   0.27659  0.16683  .60317427894435819919  1029  6168   29529  48956
LongCovid                             139109800            1.29914  0.78361  .60317427894435819919  956   1220   29529  48956
Russian                               870244616003403781   0.19184  0.11571  .60317427894435819919  397   3431   29529  48956
BREAKING                              1028022611324747776  0.77740  0.46891  .60317427894435819919  362   772    29529  48956
auspol                                2574271742           1.55512  0.93801  .60317427894435819919  348   371    29529  48956
Kyiv                                  870244616003403781   0.58985  0.35578  .60317427894435819919  317   891    29529  48956
Omicron                               45379403             0.78193  0.47164  .60317427894435819919  316   670    29529  48956
Mariupol                              578601744            0.90287  0.54459  .60317427894435819919  287   527    29529  48956
เจ้าแก้มก้อน                             177400353            1.61086  0.97163  .60317427894435819919  274   282    29529  48956
StandWithUkraine                      578601744            0.41447  0.25000  .60317427894435819919  240   960    29529  48956
Putin                                 578601744            0.16838  0.10156  .60317427894435819919  228   2245   29529  48956
BA2                                   1028022611324747776  1.37847  0.83146  .60317427894435819919  222   267    29529  48956
Ukrainian                             870244616003403781   0.20034  0.12084  .60317427894435819919  218   1804   29529  48956
fluke_natouch                         177400353            1.57106  0.94762  .60317427894435819919  199   210    29529  48956
PMQs                                  711608180535640064   1.02113  0.61592  .60317427894435819919  178   289    29529  48956
COVID                                 804582780298412032   0.08404  0.05069  .60317427894435819919  169   3334   29529  48956
Covid19                               302984766            1.11033  0.66972  .60317427894435819919  146   218    29529  48956
ableg                                 118166719            0.71721  0.43260  .60317427894435819919  138   319    29529  48956
Kharkiv                               870244616003403781   0.78306  0.47232  .60317427894435819919  128   271    29529  48956
โอห์มไง                                177400353            1.57958  0.95276  .60317427894435819919  121   127    29529  48956
Anonymous                             950215424981028864   1.27361  0.76821  .60317427894435819919  116   151    29529  48956
UkraineRussiaWar                      870244616003403781   1.44275  0.87023  .60317427894435819919  114   131    29529  48956
NATO                                  45379403             0.41999  0.25333  .60317427894435819919  114   450    29529  48956
UK                                    45379403             0.10543  0.06359  .60317427894435819919  113   1777   29529  48956
China                                 3231054096           0.44132  0.26619  .60317427894435819919  111   417    29529  48956
Partygate                             711608180535640064   0.96176  0.58011  .60317427894435819919  105   181    29529  48956
OhmThitiwat                           177400353            1.61141  0.97196  .60317427894435819919  104   107    29529  48956
longcovid                             139109800            1.35765  0.81890  .60317427894435819919  104   127    29529  48956
COVIDisAirborne                       302984766            0.57715  0.34812  .60317427894435819919  102   293    29529  48956
